行政區,院所,機構類別,院所名稱,地址,緯度,經度,電話,語音預約,緯度.1,經度.1,district
63000010,醫院,醫學中心,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,25.0556512,121.5493054,(02)27135211,,25.0556512,121.5493054,松山區
63000010,醫院,區域醫院,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,25.0476829,121.5474831,(02)27718151,,25.0476829,121.5474831,松山區
63000010,醫院,區域醫院,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,25.0544026,121.5576579,(02)27642151,,25.0544026,121.5576579,松山區
63000010,醫院,地區醫院,博仁綜合醫院,臺北市松山區光復北路66號,25.0499703,121.5575603,(02)25786677,,25.0499703,121.5575603,松山區
63000010,診所,門診部,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,25.0496778,121.5773136,(02)27653147,,25.0496778,121.5773136,松山區
63000010,診所,基層診所,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,25.053688,121.5484626,(02)77287688,,25.053688,121.5484626,松山區
63000010,診所,基層診所,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,25.0524026,121.5643397,(02)27632260,,25.0524026,121.5643397,松山區
63000010,診所,基層診所,佑家診所,臺北市松山區八德路三段233號,25.0482731,121.5571206,(02)25785658,,25.0482731,121.5571206,松山區
63000010,診所,基層診所,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,25.0481627,121.5561799,(02)25770101,,25.0481627,121.5561799,松山區
63000010,診所,基層診所,詹前俊小兒科診所,臺北市松山區民生東路五段105號1樓,25.05879,121.5600709,(02)27653039,,25.05879,121.5600709,松山區
63000010,診所,基層診所,悅昇小兒科診所,臺北市松山區民生東路三段101號2樓,25.0580313,121.5444487,(02)27125977,,25.0580313,121.5444487,松山區
63000020,醫院,區域醫院,臺北醫學大學附設醫院,臺北市信義區吳興街252號,25.0269555,121.563012,(02)27372181,,25.0269555,121.563012,信義區
63000020,診所,門診部,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,25.0385914,121.5830385,(02)87804152,,25.0385914,121.5830385,信義區
63000020,診所,基層診所,明輝診所,臺北市信義區松隆路282-3號,25.0482589,121.575595,(02)87871235,,25.0482589,121.575595,信義區
63000020,診所,基層診所,林應然小兒科診所,臺北市信義區福德街75號,25.036847,121.5811319,(02)27595328,,25.036847,121.5811319,信義區
63000020,診所,基層診所,長風小兒科診所,臺北市信義區莊敬路351號,25.0279119,121.5645429,(02)27227943,,25.0279119,121.5645429,信義區
63000020,診所,基層診所,信義邱婦產科,臺北市信義區虎林街198號,25.0383995,121.5768198,(02)27278275,,25.0383995,121.5768198,信義區
